"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"81","Rajiformes","Rhinobatidae","Rhinobatos","productus","Rhinobatos productus","Guitarra viola","PBC","","x","","NO","","","","x","","","","Peces marinos de escama: Golfo de México y Caribe (Especies asociadas)","","","","3.6","ND","ND",0.00396,3,3.59
"82","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus","Cabezón","PBC","","x","","NO","","","","","","","x","NINGUNO","","","","3.6","ND","ND",0.02914,3,NA
"83","Scorpaeniformes","Sebastidae","Sebastes","auriculatus","Sebastes auriculatus","Rocote moreno","PBC","x","x","","NO","","","","","","","x","NINGUNO","","","","4","0.00977","3.07",NA,NA,NA
"84","Scorpaeniformes","Sebastidae","Sebastes","carnatus","Sebastes carnatus","Rocote amarillo","PBC","x","x","","NO","","","","","","","X","NINGUNO","","","","3.6","ND","ND",0.0269,3,NA
"85","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas","Sebastes chrysomelas","Rocote mulato","PBC","x","x","","NO","","","","","","","x","NINGUNO","","","","3.5","0.00977","3.08",NA,NA,NA
"86","Scorpaeniformes","Sebastidae","Sebastes","flavidus","Sebastes flavidus","Rocote cola amarilla","PBC","x","x","","NO","","","","","","","x","NINGUNO","","","","4.2","ND","ND",0.01509,3,4.15
"87","Scorpaeniformes","Sebastidae","Sebastes","rastrelliger","Sebastes rastrelliger","Rocote olivo","PBC","x","x","","NO","","","","","","","x","Rocotes (Especies objetivo)","","","","3.9","ND","ND",0.022,3,NA
"88","Scorpaeniformes","Sebastidae","Sebastes","serranoides","Sebastes serranoides","Rocote falsa cabrilla","PBC","x","x","","NO","","","","","","","x","Rocotes (Especies asociadas)","","","","4.2","0.00832","3.04",0.0108,2.968,4.15
"89","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","Vieja californiana","PBC","","x","","NO","","","x","","","","","Rocotes (Especies asociadas)","","","","3.6","ND","ND",0.0289,3,NA
"90","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","Vieja californiana","PBC","","x","","NO","","","x","","","","","Rocotes (Especies asociadas)","","","","3.6","ND","ND",0.0289,3,NA
"91","Squatiniformes","Squatinidae","Squatina","californica","Squatina californica","Angelote del Pacífico","PBC","","x","","NO","","","","x","","","","NINGUNO","","","","4.1","0.00741","3.04",NA,NA,4.14
"92","Perciformes","Polyprionidae","Stereolepis","gigas","Stereolepis gigas","Mero pescada","PBC","x","x","","NO","x","","","","","","","NINGUNO","","","","4.5","ND","ND",0.02214,3,NA
"93","Perciformes","Labridae","Halichoeres","semicinctus","Halichoeres semicinctus","Vieja puntos negros / Señorita roquera","PBC","","","","NO","","","","","x","","","NINGUNO","","","","3.3","0.01","3.08",NA,NA,NA
"94","Perciformes","Labridae","Halichoeres","semicinctus","Halichoeres semicinctus","Vieja puntos negros / Señorita roquera","PBC","","","","NO","","","","","x","","","NINGUNO","","","","3.3","0.01","3.08",NA,NA,NA
"95","Perciformes","Serranidae","Mycteroperca","jordani","Mycteroperca jordani","Baya","PBC","x","x","","NO","","x","","","","","","Huachinango y pargos (Especie Asociada)","","","","4.5","ND","ND",0.01873,3,NA
"96","Perciformes","Serranidae","Mycteroperca","jordani","Mycteroperca jordani","Baya","PBC","x","x","","NO","","x","","","","","","Huachinango y pargos (Especie Asociada)","","","","4.5","ND","ND",0.01873,3,NA
"97","Perciformes","Pomacentridae","Abudefduf","troschelli","Abudefduf troschelii","Mulegino","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3","0.01995","3",NA,NA,NA
"98","Perciformes","Chaenopsidae","Acanthemblemaria ","crockeri","Acanthemblemaria crockeri","Blenia","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.00468","3",0.00957,2.627,NA
"99","Perciformes","Chaenopsidae","Acanthemblemaria ","hancocki","Acanthemblemaria hancocki","Blenia","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.00457","3.08",NA,NA,NA
"100","Perciformes","Acanthuridae","Acanthurus","nigricans","Acanthurus nigricans","Cirujano cariblanco / Navajon cariblanco","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2","0.02512","2.93",0.067,2.669,NA
"101","Perciformes","Acanthuridae","Acanthurus","triostegus","Acanthurus triostegus","Cirujano rayado/ Navajón carcelario","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.8","0.02138","2.96",0.054012,2.867136,NA
"102","Perciformes","Acanthuridae","Acanthurus","xanthopterus","Acanthurus xanthopterus","Cirujano aleta amarilla","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)","","","","2.9","0.01862","3",0.037015,2.885745,NA
"103","Myliobatiformes","Myliobatidae","Aetobatus ","narinari","Aetobatus narinari","Raya pinta/chucho pintado","GdC","","x","","NO","","","","x","","","","NINGUNO","","","","4.2","ND","ND",0.00586,3.13,4.17
"104","Myliobatiformes","Myliobatidae","Aetobatus ","narinari","Aetobatus narinari","Raya pinta/chucho pintado","GdC","","x","","NO","","","","x","","","","NINGUNO","","","","4.2","ND","ND",0.00586,3.13,4.17
"105","Perciformes","Serranidae","Alphestes","immaculatus","Alphestes immaculatus","Cabrilla rosa","GdC","","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","3.5","0.01096","3.04",NA,NA,NA
"106","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","Canelo","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.5","ND","ND",0.0188,3,NA
"107","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","Canelo","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.5","ND","ND",0.0188,3,NA
"108","Perciformes","Haemulidae","Anisotremus","interruptus","Anisotremus interruptus","Burrito/Burro ronco","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)","","","","3.5","0.02455","3.06",0.0569,2.91,NA
"109","Perciformes","Haemulidae","Anisotremus","taeniatus","Anisotremus taeniatus","Burro rayado","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.2","0.01622","3.04",NA,NA,NA
"110","Perciformes","Apogonidae","Apogon","pacificus","Apogon pacificus","Cardenal","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.01023","3.09",0.0103,3.074,NA
"111","Perciformes","Apogonidae","Apogon","retrosella","Apogon retrosella","Cardenal de Cortés","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.01122","3.12",0.00977,3.192,NA
"112","Tetraodontiformes","Tetraodontidae","Arothron"," meleagris","Arothron meleagris","Botete globo","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.6","0.02692","2.88",NA,NA,3.62
"113","Tetraodontiformes","Balistidae","Balistes","polylepsis","Balistes polylepis","Cochito","GdC","","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","3.3","0.02399","2.89",0.04885,2.685,NA
"114","Perciformes","Labridae","Bodianus","diplotaenia","Bodianus diplotaenia","Vieja /  Vieje de piedra","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.0123","3.04",NA,NA,NA
